,date,company,profit,quarter
1039,2016-05-12,VLBS,14.18,3
1040,2016-02-15,VLBS,8.37,2
1041,2015-11-19,VLBS,4.18,1
1042,2015-11-19,VLBS,41.07,1
1043,2022-01-28,WOMI,87.7,2
1044,2021-11-11,WOMI,49.17,1
1045,2021-08-02,WOMI,160.53,4
1046,2021-04-28,WOMI,108.48,3
1047,2021-02-02,WOMI,53.13,2
1048,2020-11-12,WOMI,16.65,1
1049,2020-08-14,WOMI,26.89,4
1050,2020-05-11,WOMI,47.71,3
1051,2020-01-29,WOMI,41.61,2
1052,2019-10-25,WOMI,18.39,1
1053,2019-07-23,WOMI,62.75,4
1054,2019-04-19,WOMI,44.84,3
1055,2019-01-17,WOMI,26.25,2
1056,2018-10-24,WOMI,10.87,1
1057,2018-07-25,WOMI,39.5,4
1058,2018-04-23,WOMI,29.51,3
1059,2018-01-25,WOMI,18.49,2
1060,2017-11-04,WOMI,7.31,1
1061,2017-07-23,WOMI,21.0,4
1062,2017-05-02,WOMI,15.63,3
1063,2017-01-24,WOMI,10.03,2
1064,2016-11-07,WOMI,5.26,1
1065,2016-05-05,WOMI,14.69,3
1066,2016-02-03,WOMI,9.6,2
